Year,Week_Nr,Open,High,Low,Volume,Close/Last
2021,7,557.286,563.63,538.2265,9994748,540.22
2021,8,534.99,556.8499,518.28,18468617,538.85
2021,9,545.573,556.99,498.7901,21551614,516.39
2021,10,514.46,530.235,492.85,19919496,518.02
2021,11,516.32,533.42,501.63,18024749,512.18
2021,12,509.13,543.12,496.68,21440820,508.05
2021,13,505.66,540.5,504.4,13189926,539.42
2021,14,540.01,556.9,529.23,16185291,555.31
2021,15,551.05,559.75,538.53,15752823,546.54
2021,16,546.9,563.56,500.55,54819536,505.55
2021,17,506.76,514.55,499.0,20884183,513.47
2021,18,512.65,518.95,491.37,18487247,503.84
2021,19,502.0,503.15,478.63,19253197,493.37
2021,20,485.59,505.4,478.54,15445626,497.89
2021,21,501.05,511.76,498.54,13742427,502.81
2021,22,504.01,505.41,487.25,11799466,494.74
2021,23,492.917,498.82,482.14,15727895,488.77
2021,24,489.68,504.49,486.28,19433350,500.77
2021,25,501.64,533.06,492.28,23691624,527.07
2021,26,528.12,538.5351,524.56,12694037,533.98
2021,27,533.0,544.64,528.58,11543768,535.98
2021,28,540.3,557.5399,527.05,18347840,530.31
2021,29,526.05,536.64,504.66,30871533,515.41
2021,30,514.38,524.47,509.0101,11677162,517.57
2021,31,519.0,526.84,505.37,11191918,520.55
2021,32,521.1469,522.6699,507.2014,8866136,515.92
2021,33,515.24,551.3883,512.3,18198746,546.88
2021,34,545.98,564.17,543.74,11625250,558.92
2021,35,557.25,598.7567,556.45,19361726,590.53
2021,36,594.69,615.6,593.67,18160460,598.72
2021,37,598.57,598.57,575.37,15252617,589.35
2021,38,586.79,599.32,568.08,14657363,592.39
2021,39,587.95,619.0,576.93,23863702,613.15
2021,40,613.39,646.84,594.68,25939638,632.66
2021,41,633.195,639.42,621.99,15303866,628.29
2021,42,632.1,665.46,617.15,37547304,664.78
2021,43,663.74,690.9699,657.07,15699968,690.31
2021,44,689.06,689.97,645.01,19482871,645.72
2021,45,650.29,683.34,642.11,14775659,682.61
2021,46,681.235,700.9894,671.49,12312248,678.8
2021,47,676.02,679.48,646.05,9826030,665.64
2021,48,663.2,675.38,594.0,20195715,602.13
2021,49,606.01,632.455,601.0,13546265,611.66
2021,50,612.0,612.64,581.74,15945570,586.73
2021,51,586.43,616.88,584.26,9634685,614.09
2021,52,615.0,620.61,602.05,8854873,602.44
2022,1,605.61,609.99,538.2175,20705360,541.06
2022,2,538.49,544.27,511.88,23687525,525.69
2022,3,520.08,526.64,379.99,80761186,397.5
2022,4,383.91,394.8,351.46,96507940,384.36
2022,5,401.97,458.48,396.6391,74656568,410.17
2022,6,410.17,412.98,387.65,38801483,391.31
2022,7,387.59,409.36,385.7,29346336,391.29
2022,8,388.95,392.42,354.72,23222165,390.8
2022,9,387.33,397.75,357.17,25088310,361.73
2022,10,360.41,367.02,340.0,28284916,340.32
2022,11,338.72,381.8,329.82,32494099,380.6
2022,12,378.02,386.66,366.43,20302593,373.85
2022,13,375.23,396.5,366.73,23006416,373.47
2022,14,373.55,396.02,353.6897,24572720,355.88
2022,15,350.0,359.41,339.86,15176144,341.13
2022,16,340.0,351.68,210.05,250416161,215.52
2022,17,213.81,216.66,185.6,108523580,190.36
2022,18,191.71,204.38,175.81,69806620,180.97
2022,19,177.655,187.77,162.71,71379210,187.64
2022,20,193.3,195.89,175.71,56565237,186.35
2022,21,186.15,195.25,177.17,42466411,195.19
2022,22,196.18,205.47,190.8,36629507,198.98
2022,23,202.09,207.38,180.85,37478902,182.94
2022,24,177.07,183.845,164.28,54508446,175.51
2022,25,177.6,191.19,169.8,46150406,190.85
2022,26,191.77,192.2,170.3,34428916,179.95
2022,27,176.28,190.21,172.6801,25262633,186.975
2022,28,184.73,189.22,169.702,50986708,189.11
2022,29,192.5,229.35,188.4,139657410,220.44
2022,30,221.31,230.75,211.64,48989847,224.9
2022,31,223.095,232.07,220.88,30969546,226.78
2022,32,227.49,251.62,224.65,41311957,249.3
2022,33,248.11,251.99,235.68,30076515,241.16
2022,34,232.55,236.95,223.15,28450070,223.28
2022,35,221.93,233.8814,218.74,36923537,226.11
2022,36,225.59,234.7799,214.69,29057841,233.57
2022,37,233.61,242.2871,215.8,60646193,240.13
2022,38,245.05,250.49,221.43,64341772,226.41
2022,39,225.6,246.98,220.72,64419728,235.44
2022,40,237.85,245.7999,224.28,52403991,224.75
2022,41,225.64,238.8,211.73,71024605,230.0
2022,42,234.41,290.75,234.4,135615970,289.57
2022,43,290.23,305.63,280.36,68749527,295.72
2022,44,295.13,299.7,255.32,42971217,260.79
2022,45,261.06,290.66,252.09,42118010,290.13
2022,46,290.0,312.71,287.0,58877214,287.98
2022,47,291.0,292.47,277.34,22656567,285.54
2022,48,284.0,321.99,275.94,53919513,320.41
2022,49,316.46,329.0,302.1,45009414,320.01
2022,50,320.0,332.7236,286.55,60252941,290.71
2022,51,289.73,300.66,280.81,31565254,294.965
2022,52,293.19,295.4999,273.41,28897886,294.88
2023,1,298.06,316.77,288.7,33397247,315.55
2023,2,316.83,336.65,311.07,48561665,332.82
2023,3,331.08,344.0,313.39,63499642,342.5
2023,4,341.715,369.02,340.6329,50170679,360.77
2023,5,358.44,379.4301,348.71,36052487,365.9
2023,6,363.642,373.83,347.14,31729685,347.36
2023,7,349.5,363.75,342.44,26239601,347.96
2023,8,342.85,344.1253,314.3,30325903,317.15
2023,9,323.87,330.0,310.38,25604338,315.18
2023,10,317.0,323.3,289.0,26895964,292.76
2023,11,287.34,316.6,285.3301,36295565,303.5
2023,12,299.79,331.83,293.54,44465184,328.39
2023,13,327.55,345.84,321.28,34144116,345.48
2023,14,341.83,349.8,332.63,16577809,339.33
2023,15,335.27,347.14,330.04,23425061,338.63
2023,16,338.0,338.39,316.1,62504617,327.98
2023,17,330.2,334.66,317.44,25483649,329.93
2023,18,329.435,331.23,315.62,22594447,322.76
2023,19,322.99,348.1664,322.03,29439233,339.89
2023,20,340.62,375.87,329.615,39731583,365.36
2023,21,365.36,383.76,354.31,35869355,378.88
2023,22,397.48,407.52,385.79,30915563,400.47
2023,23,400.47,425.9,396.34,42535252,420.02
2023,24,418.83,448.65,416.5669,38054991,431.96
2023,25,430.18,440.0,417.73,23079600,424.02
2023,26,422.435,444.12,411.5,30548134,440.49
2023,27,439.76,450.97,430.72,19713911,438.1
2023,28,438.52,456.48,431.0415,27911288,441.91
2023,29,445.57,485.0,423.19,82424241,427.5
2023,30,425.0,430.8799,411.88,32174058,425.78
2023,31,426.51,445.2499,426.27,28936064,431.6
2023,32,436.455,443.57,421.3277,21790658,421.66
2023,33,421.99,429.12,398.15,21644647,404.53
2023,34,402.23,437.02,399.5,26718316,416.03
2023,35,418.04,445.5,413.27,19637029,439.88
2023,36,438.39,453.45,436.7,15645168,442.8
2023,37,443.07,449.89,395.03,37706606,396.94
2023,38,395.5,399.465,378.36,21907563,379.81
2023,39,382.9,386.62,371.1,20265395,377.6
2023,40,377.48,394.9,367.24,26096784,381.51
2023,41,378.05,388.7,352.05,33432542,355.68
2023,42,356.21,410.64,344.73,63324339,400.96
2023,43,403.32,418.84,395.62,31996180,397.87
2023,44,402.35,434.815,399.41,22143913,432.36
2023,45,434.38,447.48,429.61,15829935,447.24
2023,46,447.25,467.65,442.6,18448498,465.91
2023,47,465.4,482.7,465.4,10867441,479.56
2023,48,479.03,482.0,464.6,18000448,465.74
2023,49,460.99,461.2,445.73,19682248,453.76
2023,50,459.36,481.25,457.21,27069943,472.06
2023,51,476.3,500.89,475.095,20282261,486.76
2023,52,489.39,494.015,481.935,9046894,486.88
2024,1,483.185,484.65,461.86,14760880,474.06
2024,2,473.89,503.41,472.95,24541963,492.16
2024,3,490.0,494.15,475.2642,19300317,482.95
2024,4,487.55,579.64,479.9,69373614,570.42
2024,5,571.35,578.5499,560.82,25151632,564.64
2024,6,562.47,575.75,554.37,17588156,561.32
2024,7,560.36,597.0,549.0,22300793,583.95
2024,8,580.18,592.43,567.32,11500828,583.56
2024,9,583.56,620.28,583.27,17330696,619.34
2024,10,621.56,624.42,592.0,14859509,604.82
2024,11,608.08,622.92,596.27,17306746,605.88
2024,12,613.56,634.3617,608.0,12769725,628.01
2024,13,627.9,634.3899,601.59,10944787,607.33
2024,14,608.0,638.0,605.5101,13519564,636.18
2024,15,636.39,639.0,609.34,12720545,622.83
2024,16,630.17,630.17,552.16,34834845,555.04
