,Year,Week_Nr,Open,High,Low,Volume,Close/Last
681,2021,32,520.0,520.79,512.965,1960544,515.84
680,2021,32,517.0,519.57,509.77,1673904,512.4
679,2021,32,511.86,513.0,507.2014,1686170,510.72
678,2021,32,512.64,521.44,511.51,2177736,515.92
677,2021,33,515.24,523.38,512.3,2033176,517.92
676,2021,33,515.465,520.79,514.2,2309803,518.91
675,2021,33,520.0,526.38,518.65,2582046,521.87
674,2021,33,522.74,548.39,521.87,7497292,543.71
673,2021,33,545.09,551.3883,539.1,3776429,546.88
672,2021,34,545.98,555.55,543.74,2602010,553.33
671,2021,34,551.484,555.3141,549.27,2109525,553.41
670,2021,34,550.16,552.84,545.45,2065621,547.58
669,2021,34,546.16,552.604,545.9,1595499,550.12
668,2021,34,551.6,564.17,549.25,3252595,558.92
667,2021,35,557.25,567.1648,556.45,2434839,566.18
666,2021,35,566.12,569.48,561.611,2431886,569.19
665,2021,35,569.0,591.0,569.0,5626214,582.07
664,2021,35,583.68,598.7567,583.68,6184782,588.55
663,2021,35,585.8,591.8783,583.14,2684005,590.53
662,2021,36,594.69,613.85,593.99,5830979,606.71
661,2021,36,603.84,615.6,595.71,5424503,606.05
660,2021,36,606.47,609.44,596.55,2954214,597.54
659,2021,36,598.16,609.45,593.67,3950764,598.72
658,2021,37,598.57,598.57,582.775,3062871,589.29
657,2021,37,584.89,587.28,575.56,3456958,577.76
656,2021,37,578.17,584.62,575.37,2755615,582.87
655,2021,37,584.3,587.48,577.72,1832028,586.5
654,2021,37,587.85,590.28,580.8501,4145145,589.35
653,2021,38,586.79,591.53,568.08,3732227,575.43
652,2021,38,578.31,581.88,569.37,2250884,573.14
651,2021,38,579.69,595.65,579.69,4021845,590.65
650,2021,38,590.79,599.32,589.1301,2526161,593.26
649,2021,38,592.5,592.98,583.64,2126246,592.39
648,2021,39,587.95,593.58,576.93,2504738,592.64
647,2021,39,589.0,599.5353,580.16,4431051,583.85
646,2021,39,589.01,609.8799,588.01,6221026,599.06
645,2021,39,608.05,619.0,608.05,6616040,610.34
644,2021,39,604.24,614.99,597.505,4090847,613.15
643,2021,40,613.39,626.125,594.68,4995932,603.35
642,2021,40,606.94,640.39,606.89,9534293,634.81
641,2021,40,628.18,639.8699,626.36,4580434,639.1
640,2021,40,642.225,646.84,630.45,3556886,631.85
639,2021,40,634.165,643.8,630.86,3272093,632.66
638,2021,41,633.195,639.42,626.78,2862470,627.04
637,2021,41,633.02,637.655,621.99,3227349,624.94
636,2021,41,632.1791,632.1791,622.1,2424638,629.76
635,2021,41,632.23,636.88,626.79,2672535,633.8
634,2021,41,638.0,639.42,625.16,4116874,628.29
633,2021,42,632.1,638.41,620.5901,4669071,637.97
632,2021,42,636.969,641.0,632.3,7633147,639.0
631,2021,42,625.573,637.4,617.15,10622000,625.14
630,2021,42,628.89,654.01,628.65,8437070,653.16
629,2021,42,651.81,665.46,651.81,6186016,664.78
628,2021,43,663.74,675.88,657.07,3833526,671.66
627,2021,43,673.76,676.4899,662.77,2904840,668.52
626,2021,43,669.0,671.41,661.85,2276914,662.92
625,2021,43,670.949,676.8,668.03,2859409,674.05
624,2021,43,673.06,690.9699,671.24,3825279,690.31
623,2021,44,689.06,689.97,676.54,3110911,681.17
622,2021,44,683.11,687.68,673.82,3888597,677.72
621,2021,44,677.27,689.39,677.27,2334852,688.29
620,2021,44,685.89,685.94,665.5,4865023,668.4
619,2021,44,663.97,665.64,645.01,5283488,645.72
618,2021,45,650.29,656.0,643.79,2887523,651.45
617,2021,45,653.7,660.5,650.52,2415630,655.99
616,2021,45,653.01,660.3306,642.11,2405785,646.91
615,2021,45,650.24,665.82,649.705,2868311,657.58
614,2021,45,660.01,683.34,653.82,4198410,682.61
613,2021,46,681.235,685.2599,671.49,2872186,679.33
612,2021,46,678.27,688.3599,676.9,2077387,687.4
611,2021,46,690.0,700.9894,686.09,2732831,691.69
610,2021,46,691.61,691.74,679.735,2014992,682.02
609,2021,46,692.35,694.16,675.0,2614852,678.8
608,2021,47,676.02,679.48,656.47,2765318,659.2
607,2021,47,658.18,666.43,646.05,2320917,654.06
606,2021,47,658.01,661.44,651.1,1867282,658.29
605,2021,47,675.0,676.405,660.67,2872513,665.64
604,2021,48,663.2,667.99,658.29,2529364,663.84
603,2021,48,668.198,675.38,640.01,5608919,641.9
602,2021,48,649.48,654.52,617.07,3897019,617.77
601,2021,48,617.1,625.36,612.88,3331131,616.47
600,2021,48,622.75,625.5,594.0,4829282,602.13
599,2021,49,606.01,617.29,601.0,3075672,612.69
598,2021,49,619.83,628.89,611.4,3125190,625.58
597,2021,49,630.0,632.455,623.2,2220308,628.08
596,2021,49,627.58,630.24,610.44,2376321,611.0
595,2021,49,616.78,617.74,605.88,2748774,611.66
594,2021,50,612.0,612.64,599.52,2517915,604.56
593,2021,50,598.71,602.29,588.13,2984536,597.99
592,2021,50,598.18,605.69,584.51,2866196,605.04
591,2021,50,597.09,602.8308,588.0,3143217,591.06
590,2021,50,591.61,593.25,581.74,4433706,586.73
589,2021,51,586.43,602.8847,584.26,3358404,593.74
588,2021,51,597.5434,607.82,593.8611,2319390,604.92
587,2021,51,603.36,614.82,602.63,2335745,614.24
586,2021,51,616.4,616.88,607.57,1621146,614.09
585,2021,52,615.0,615.0,609.25,2062233,613.12
584,2021,52,614.95,618.41,609.69,1884116,610.71
583,2021,52,610.71,613.98,604.68,1287513,610.54
582,2021,52,612.99,620.61,611.2401,1625093,612.09
581,2021,52,610.01,614.075,602.05,1995918,602.44
580,2022,1,605.61,609.99,590.56,3068808,597.37
579,2022,1,599.91,600.4099,581.6,4393135,591.15
578,2022,1,592.0,592.84,566.88,4148749,567.52
577,2022,1,554.34,563.36,542.01,5711795,553.29
576,2022,1,549.46,553.43,538.2175,3382873,541.06
575,2022,2,538.49,543.69,526.32,4486145,539.85
574,2022,2,536.99,543.91,530.07,3077836,540.84
573,2022,2,544.27,544.27,532.02,3787372,537.22
572,2022,2,537.06,540.79,518.26,4475063,519.2
571,2022,2,517.6,538.37,511.88,7861109,525.69
570,2022,3,520.08,521.75,508.68,4844418,510.8
569,2022,3,515.0,523.21,510.51,4353508,515.86
568,2022,3,517.75,526.64,506.93,12658990,508.25
567,2022,3,400.425,409.1499,379.99,58904270,397.5
566,2022,4,383.91,387.26,351.46,32386780,387.15
565,2022,4,379.14,387.71,365.13,15145820,366.42
564,2022,4,378.27,382.66,356.62,12683980,359.7
563,2022,4,382.06,394.8,378.1,24324750,386.7
562,2022,4,386.76,387.0,372.08,11966610,384.36
561,2022,5,401.97,427.7,398.2,20047450,427.14
560,2022,5,432.96,458.48,425.5401,22568100,457.13
559,2022,5,448.25,451.98,426.48,14346010,429.48
558,2022,5,421.44,429.26,404.28,9905210,405.6
557,2022,5,407.31,412.77,396.6391,7789798,410.17
556,2022,6,410.17,412.35,393.55,8232859,402.1
555,2022,6,398.18,406.61,395.83,6818543,403.53
554,2022,6,408.65,412.98,398.79,7738227,412.89
553,2022,6,402.1,408.0,396.36,8452915,406.27
552,2022,6,405.33,411.6103,387.65,7558939,391.31
551,2022,7,387.59,409.36,386.891,7202155,396.57
550,2022,7,403.79,409.1619,401.01,5395641,407.46
549,2022,7,401.53,401.56,390.3842,5277650,398.08
548,2022,7,394.235,399.11,385.7,4669222,386.67
547,2022,7,392.53,402.87,389.0466,6801668,391.29
546,2022,8,388.95,392.42,373.02,6697515,377.38
545,2022,8,382.72,386.0,366.66,4614290,367.46
544,2022,8,355.09,390.73,354.72,7068724,390.03
543,2022,8,386.61,391.29,375.58,4841636,390.8
542,2022,9,387.33,397.75,382.13,5035046,394.52
541,2022,9,391.6,395.0,383.705,3290439,386.24
540,2022,9,388.93,389.22,375.21,5356809,380.03
539,2022,9,386.0,386.12,364.65,6076836,368.07
538,2022,9,368.0,374.8186,357.17,5329180,361.73
537,2022,10,360.41,361.995,350.2,5708383,350.26
536,2022,10,349.8,358.86,340.67,6428655,341.76
535,2022,10,357.685,364.14,350.5089,6520186,358.79
534,2022,10,356.2,367.02,353.3,4807767,356.77
533,2022,10,361.19,363.36,340.0,4819925,340.32
532,2022,11,338.72,341.32,329.82,5907817,331.01
531,2022,11,335.1,345.36,332.36,5460640,343.75
530,2022,11,348.2,359.99,343.06,6982469,357.53
529,2022,11,359.7,373.31,354.88,5818348,371.4
528,2022,11,372.0,381.8,368.47,8324825,380.6
527,2022,12,378.02,381.82,368.94,4866463,374.59
526,2022,12,371.14,386.66,366.76,4242762,382.92
525,2022,12,379.77,382.46,374.49,3728954,374.49
524,2022,12,379.76,379.76,368.9,3888461,375.71
523,2022,12,377.07,377.64,366.43,3575953,373.85
522,2022,13,375.23,380.28,366.73,4323435,378.51
521,2022,13,384.39,396.5,380.33,5880723,391.82
520,2022,13,389.55,392.7,378.625,4023301,381.47
519,2022,13,383.59,384.0,373.61,4134720,374.59
518,2022,13,376.8,380.87,368.5,4644237,373.47
517,2022,14,373.55,396.02,373.13,7009235,391.5
516,2022,14,389.3,390.0,377.305,4234508,380.15
515,2022,14,374.15,376.4699,362.73,4354885,368.35
514,2022,14,365.0,368.54,353.6897,4948909,362.15
513,2022,14,361.96,362.5,354.865,4025183,355.88
512,2022,15,350.0,354.78,345.2,3777096,348.0
511,2022,15,355.91,359.41,342.25,3824261,344.1
510,2022,15,343.92,352.0,341.155,3230950,350.43
509,2022,15,350.95,352.0,339.86,4343837,341.13
508,2022,16,340.0,342.36,331.615,5105041,337.86
507,2022,16,333.22,351.68,333.22,20906890,348.61
506,2022,16,245.2,248.7,212.51,133387500,226.19
505,2022,16,220.0,227.68,211.52,53501600,218.22
504,2022,16,220.18,226.27,210.05,37515130,215.52
503,2022,17,213.81,216.66,204.51,28152050,209.91
502,2022,17,208.8,209.15,198.2773,20318090,198.4
501,2022,17,194.005,200.19,187.77,22298390,188.54
500,2022,17,191.56,201.48,185.6,21363160,199.52
499,2022,17,198.68,204.71,190.0,16391890,190.36
498,2022,18,191.71,200.2141,190.01,14591600,199.46
497,2022,18,198.29,203.2,194.77,11839430,199.87
496,2022,18,197.65,204.38,191.01,12218780,204.01
495,2022,18,200.45,200.71,186.0,13971330,188.32
494,2022,18,186.75,187.21,175.81,17185480,180.97
493,2022,19,177.655,183.2,172.3,14031330,173.1
492,2022,19,176.01,181.8712,170.57,13883910,177.66
491,2022,19,176.09,180.92,165.55,12665520,166.37
490,2022,19,163.96,177.58,162.71,17662120,174.31
489,2022,19,177.16,187.77,176.01,13136330,187.64
488,2022,20,193.3,195.89,185.7,16145010,186.51
487,2022,20,189.17,191.4,185.17,9876685,190.56
486,2022,20,186.72,187.7,176.27,9665632,177.19
485,2022,20,178.045,186.3,175.71,10448510,183.48
484,2022,20,185.867,190.19,179.77,10429400,186.35
483,2022,21,186.15,187.66,177.89,9602027,187.44
482,2022,21,182.0,184.0,177.17,7706372,180.34
481,2022,21,180.28,188.87,180.17,8522092,187.83
480,2022,21,186.49,192.3402,183.0916,8049933,191.4
479,2022,21,193.19,195.25,190.3722,8585987,195.19
478,2022,22,196.18,199.95,190.8,11398460,197.44
477,2022,22,198.7,202.74,191.6606,8416151,192.91
476,2022,22,192.02,205.47,191.72,9623121,205.09
475,2022,22,200.14,202.95,198.05,7191775,198.98
474,2022,23,202.09,203.87,195.38,5372043,197.14
473,2022,23,194.87,199.6,193.0,4839491,198.61
472,2022,23,197.95,207.38,197.64,7244121,202.83
471,2022,23,200.65,201.69,192.54,6948967,192.77
470,2022,23,182.64,185.86,180.85,13074280,182.94
469,2022,24,177.07,179.09,168.9571,10222410,169.69
468,2022,24,169.75,172.0622,164.28,11555320,167.54
467,2022,24,169.258,183.845,168.53,12396040,180.11
466,2022,24,174.0,176.27,171.56,8201306,173.35
465,2022,24,173.63,179.65,173.34,12133370,175.51
464,2022,25,177.6,178.6189,169.8,12177590,170.91
463,2022,25,170.75,182.82,170.2,12010620,178.89
462,2022,25,180.5,182.76,175.87,9538226,181.71
461,2022,25,183.5,191.19,181.84,12423970,190.85
460,2022,26,191.77,191.78,182.39,8363879,189.14
459,2022,26,189.2,192.2,179.37,7201897,179.6
458,2022,26,179.55,180.665,175.1,5766847,178.36
457,2022,26,177.07,179.45,170.3,7894710,174.87
456,2022,26,176.49,180.1,174.27,5201583,179.95
455,2022,27,176.28,185.92,172.6801,7339023,185.88
454,2022,27,185.2,186.22,180.82,5753385,184.06
453,2022,27,184.27,190.21,183.5,6334545,189.27
452,2022,27,186.02,189.91,182.75,5835680,186.975
451,2022,28,184.73,184.99,176.89,6048447,177.34
450,2022,28,177.33,179.7839,173.42,6845264,174.45
449,2022,28,170.5,179.18,169.702,12734420,176.56
448,2022,28,175.56,177.52,171.82,9039457,174.78
447,2022,28,175.58,189.22,174.56,16319120,189.11
446,2022,29,192.5,199.67,189.8,16322850,190.92
445,2022,29,193.02,201.97,188.4,28178720,201.63
444,2022,29,208.17,216.9699,200.1,53920270,216.44
443,2022,29,214.3,224.32,211.5,23430120,223.88
442,2022,29,222.38,229.35,218.44,17805450,220.44
441,2022,30,221.31,225.23,216.35,10935250,218.51
440,2022,30,216.66,219.39,211.64,9508532,213.91
439,2022,30,216.48,227.78,214.58,10508390,226.75
438,2022,30,224.6,228.1,219.67,8972738,226.02
437,2022,30,223.29,230.75,222.4,9064937,224.9
436,2022,31,223.095,228.39,221.0,5525044,226.21
435,2022,31,222.76,228.2,220.88,6361327,221.42
434,2022,31,224.79,228.1,222.42,6400701,226.73
433,2022,31,227.68,232.07,225.05,7142741,229.91
432,2022,31,225.3,228.62,222.87,5539733,226.78
431,2022,32,227.49,241.9599,226.41,10997410,233.49
430,2022,32,231.62,232.1999,224.65,6181194,229.94
429,2022,32,236.99,244.54,236.5958,9254760,244.11
428,2022,32,244.68,251.62,241.51,8780062,242.7
427,2022,32,244.81,249.41,243.76,6098531,249.3
426,2022,33,248.11,251.99,247.51,6527391,249.11
425,2022,33,247.16,249.29,244.03,5136806,245.69
424,2022,33,241.18,244.24,237.56,5627224,241.15
423,2022,33,241.96,246.4794,239.2801,5280387,245.17
422,2022,33,240.95,243.29,235.68,7504707,241.16
